year,T_x,T_y,ID,Pred,Season,T1PntsMean_x,T1PntsMedian_x,T1FgaMean_x,T1FgaMedian_x,T1FgaMin_x,T1FgaMax_x,T1AstMean_x,T1BlkMean_x,T2FgaMean_x,T2FgaMin_x,PointsDiffMean_x,WinRatio14D_x,Seed_x,DII_x,MAS_x,MOR_x,POM_x,SAG_x,T1PntsMean_y,T1PntsMedian_y,T1FgaMean_y,T1FgaMedian_y,T1FgaMin_y,T1FgaMax_y,T1AstMean_y,T1BlkMean_y,T2FgaMean_y,T2FgaMin_y,PointsDiffMean_y,WinRatio14D_y,Seed_y,DII_y,MAS_y,MOR_y,POM_y,SAG_y,SeedDiff
2022,1103,1104,2022_1103_1104,0.5,2022,69.29032258064517,70.0,51.96774193548387,52.0,40,64,11.516129032258064,3.096774193548387,54.806451612903224,46,5.129032258064516,1.0,13,178.0,147.0,106.0,166.0,178.0,79.96875,79.0,62.75,62.5,49,84,14.625,4.71875,61.6875,50,3.5625,0.0,6,23.0,22.0,31.0,22.0,23.0,7
2022,1103,1112,2022_1103_1112,0.5,2022,69.29032258064517,70.0,51.96774193548387,52.0,40,64,11.516129032258064,3.096774193548387,54.806451612903224,46,5.129032258064516,1.0,13,178.0,147.0,106.0,166.0,178.0,84.55882352941177,84.0,61.38235294117647,60.5,48,75,19.91176470588235,5.705882352941177,64.91176470588235,52,17.029411764705884,1.0,1,32.0,9.0,23.0,40.0,21.0,12
2022,1104,1112,2022_1104_1112,0.5,2022,79.96875,79.0,62.75,62.5,49,84,14.625,4.71875,61.6875,50,3.5625,0.0,6,23.0,22.0,31.0,22.0,23.0,84.55882352941177,84.0,61.38235294117647,60.5,48,75,19.91176470588235,5.705882352941177,64.91176470588235,52,17.029411764705884,1.0,1,32.0,9.0,23.0,40.0,21.0,5
2022,1103,1116,2022_1103_1116,0.5,2022,69.29032258064517,70.0,51.96774193548387,52.0,40,64,11.516129032258064,3.096774193548387,54.806451612903224,46,5.129032258064516,1.0,13,178.0,147.0,106.0,166.0,178.0,76.93939393939394,76.0,60.60606060606061,61.0,48,73,14.090909090909092,4.181818181818182,57.78787878787879,48,8.393939393939394,0.5,4,65.0,65.0,73.0,54.0,46.0,9
2022,1104,1116,2022_1104_1116,0.5,2022,79.96875,79.0,62.75,62.5,49,84,14.625,4.71875,61.6875,50,3.5625,0.0,6,23.0,22.0,31.0,22.0,23.0,76.93939393939394,76.0,60.60606060606061,61.0,48,73,14.090909090909092,4.181818181818182,57.78787878787879,48,8.393939393939394,0.5,4,65.0,65.0,73.0,54.0,46.0,2
2022,1112,1116,2022_1112_1116,0.5,2022,84.55882352941177,84.0,61.38235294117647,60.5,48,75,19.91176470588235,5.705882352941177,64.91176470588235,52,17.029411764705884,1.0,1,32.0,9.0,23.0,40.0,21.0,76.93939393939394,76.0,60.60606060606061,61.0,48,73,14.090909090909092,4.181818181818182,57.78787878787879,48,8.393939393939394,0.5,4,65.0,65.0,73.0,54.0,46.0,-3
2022,1103,1120,2022_1103_1120,0.5,2022,69.29032258064517,70.0,51.96774193548387,52.0,40,64,11.516129032258064,3.096774193548387,54.806451612903224,46,5.129032258064516,1.0,13,178.0,147.0,106.0,166.0,178.0,78.71875,80.0,63.5625,64.0,44,80,14.53125,7.84375,59.0,47,11.6875,0.6666666666666666,2,61.0,30.0,27.0,30.0,38.0,11
2022,1104,1120,2022_1104_1120,0.5,2022,79.96875,79.0,62.75,62.5,49,84,14.625,4.71875,61.6875,50,3.5625,0.0,6,23.0,22.0,31.0,22.0,23.0,78.71875,80.0,63.5625,64.0,44,80,14.53125,7.84375,59.0,47,11.6875,0.6666666666666666,2,61.0,30.0,27.0,30.0,38.0,4
2022,1112,1120,2022_1112_1120,0.5,2022,84.55882352941177,84.0,61.38235294117647,60.5,48,75,19.91176470588235,5.705882352941177,64.91176470588235,52,17.029411764705884,1.0,1,32.0,9.0,23.0,40.0,21.0,78.71875,80.0,63.5625,64.0,44,80,14.53125,7.84375,59.0,47,11.6875,0.6666666666666666,2,61.0,30.0,27.0,30.0,38.0,-1
2022,1116,1120,2022_1116_1120,0.5,2022,76.93939393939394,76.0,60.60606060606061,61.0,48,73,14.090909090909092,4.181818181818182,57.78787878787879,48,8.393939393939394,0.5,4,65.0,65.0,73.0,54.0,46.0,78.71875,80.0,63.5625,64.0,44,80,14.53125,7.84375,59.0,47,11.6875,0.6666666666666666,2,61.0,30.0,27.0,30.0,38.0,2
