year,day,team_1,team_2,win_ind
2003,10,1104,1328,True
2003,10,1272,1393,True
2003,11,1266,1437,True
2003,11,1296,1457,True
2003,11,1208,1400,False
2003,11,1186,1458,False
2003,12,1161,1236,True
2003,12,1186,1457,True
2003,12,1156,1194,False
2003,12,1296,1458,False
2003,13,1166,1426,True
2003,13,1106,1202,False
2003,13,1135,1237,False
2003,13,1125,1323,False
2003,14,1125,1135,True
2003,14,1156,1236,True
2003,14,1161,1194,True
2003,14,1166,1202,True
2003,14,1129,1183,False
2003,14,1314,1336,True
2003,14,1237,1323,False
2003,14,1162,1353,False
2003,14,1131,1390,False
2003,14,1106,1426,False
2003,14,1389,1462,False
2003,15,1156,1161,False
2003,15,1194,1236,True
2003,15,1196,1256,True
2003,15,1221,1242,False
2003,15,1422,1447,True
2003,16,1314,1353,True
2003,16,1390,1462,True
2003,17,1183,1196,False
2003,17,1147,1304,False
2003,18,1104,1106,True
2003,18,1113,1287,True
2003,18,1116,1238,True
2003,18,1117,1369,True
2003,18,1120,1459,True
2003,18,1122,1272,True
2003,18,1123,1240,True
2003,18,1133,1337,True
2003,18,1139,1236,True
2003,18,1140,1405,True
2003,18,1141,1206,True
2003,18,1148,1389,True
2003,18,1150,1253,True
2003,18,1151,1359,True
2003,18,1157,1441,True
2003,18,1149,1158,False
2003,18,1142,1160,False
2003,18,1138,1165,False
2003,18,1179,1194,True
2003,18,1187,1292,True
2003,18,1191,1227,True
2003,18,1200,1456,True
2003,18,1207,1212,True
2003,18,1211,1220,True
2003,18,1193,1217,False
2003,18,1114,1218,False
2003,18,1219,1319,True
2003,18,1232,1464,True
2003,18,1202,1241,False
2003,18,1242,1422,True
2003,18,1174,1247,False
2003,18,1171,1250,False
2003,18,1258,1260,True
2003,18,1261,1311,True
2003,18,1159,1265,False
2003,18,1164,1266,False
2003,18,1267,1310,True
2003,18,1277,1421,True
2003,18,1110,1281,False
2003,18,1298,1416,True
2003,18,1291,1301,False
2003,18,1308,1410,True
2003,18,1283,1317,False
2003,18,1285,1320,False
2003,18,1271,1321,False
2003,18,1137,1323,False
2003,18,1328,1414,True
2003,18,1329,1463,True
2003,18,1169,1340,False
2003,18,1343,1444,True
2003,18,1275,1345,False
2003,18,1318,1348,False
2003,18,1349,1408,True
2003,18,1347,1350,False
2003,18,1282,1352,False
2003,18,1334,1365,False
2003,18,1107,1373,False
2003,18,1375,1380,True
2003,18,1108,1379,False
2003,18,1382,1439,True
2003,18,1224,1384,False
2003,18,1168,1394,False
2003,18,1358,1395,False
2003,18,1205,1397,False
2003,18,1403,1423,True
2003,18,1387,1404,False
2003,18,1128,1412,False
2003,18,1415,1425,False
2003,18,1226,1427,False
2003,18,1381,1428,False
2003,18,1368,1435,False
2003,18,1185,1436,False
2003,18,1180,1437,False
2003,18,1254,1438,False
2003,18,1364,1451,False
2003,18,1175,1452,False
2003,19,1112,1443,True
2003,19,1108,1124,False
2003,19,1127,1248,True
2003,19,1131,1162,True
2003,19,1140,1243,True
2003,19,1143,1307,True
2003,19,1126,1145,False
2003,19,1153,1399,True
2003,19,1163,1346,True
2003,19,1177,1296,True
2003,19,1132,1178,False
2003,19,1119,1181,False
2003,19,1159,1185,False
2003,19,1186,1361,True
2003,19,1198,1289,True
2003,19,1125,1208,False
2003,19,1209,1299,True
2003,19,1115,1210,False
2003,19,1148,1219,False
2003,19,1225,1333,True
2003,19,1164,1226,False
2003,19,1233,1252,True
2003,19,1240,1364,True
2003,19,1102,1257,False
2003,19,1259,1288,True
2003,19,1266,1427,True
2003,19,1189,1273,False
2003,19,1274,1306,True
2003,19,1319,1389,True
2003,19,1328,1343,True
2003,19,1335,1336,True
2003,19,1182,1338,False
2003,19,1222,1341,False
2003,19,1135,1344,False
2003,19,1284,1351,False
2003,19,1305,1360,False
2003,19,1362,1371,False
2003,19,1276,1382,False
2003,19,1130,1386,False
2003,19,1357,1392,False
2003,19,1372,1400,False
2003,19,1308,1409,False
2003,19,1280,1418,False
2003,19,1406,1420,False
2003,19,1229,1429,False
2003,19,1265,1436,False
2003,19,1251,1440,False
2003,19,1313,1442,False
2003,19,1414,1444,False
2003,19,1363,1450,False
2003,19,1123,1451,False
2003,19,1147,1453,False
2003,19,1426,1455,False
2003,19,1454,1458,False
